@relation 'sales_clothes-weka.filters.unsupervised.attribute.NumericToNominal-R4-5,14-16,20-weka.filters.unsupervised.attribute.Remove-R1,21,22,23-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute product_variation_inventory numeric
@attribute merchant_rating numeric
@attribute units_sold {10,50,100,1000,5000,10000,20000,50000,100000}

@data
54,26,8,10,1,9,50,4.128521,100
6135,2269,1027,1118,644,1077,50,3.899673,20000
14,5,4,2,0,3,1,3.989831,100
579,295,119,87,42,36,50,4.020435,5000
20,6,4,2,2,6,1,4.001588,100
1,1,0,0,0,0,1,3.507692,10
6742,3172,1352,971,490,757,50,4.076516,50000
286,120,56,61,18,31,50,3.681287,1000
15,6,2,3,1,3,50,3.80303,100
687,287,128,92,68,112,50,3.999819,5000
613,245,101,81,61,125,2,3.956811,1000
13,3,4,3,0,3,2,3.983784,100
141,49,29,24,14,25,1,4.123878,1000
121,36,24,23,19,19,50,3.947472,1000
2457,984,481,459,206,327,1,4.138885,20000
426,204,94,62,21,45,50,4.066326,1000
2058,840,435,386,158,239,50,3.958426,10000
17980,8290,3483,2951,1410,1846,50,3.933581,100000
5479,2456,1162,853,431,577,50,4.081624,20000
214,87,36,49,17,25,7,4.062361,1000
1183,506,274,216,81,106,50,4.256597,5000
3552,1437,632,610,358,515,11,3.981337,20000
72,27,11,11,8,15,2,4.231842,1000
510,213,98,85,45,69,50,4.264659,5000
678,290,145,104,61,78,19,4.006692,1000
567,323,116,58,28,42,50,4.110059,1000
216,105,48,39,12,12,5,4.229409,1000
2996,1781,628,374,104,109,50,4.017488,20000
12,7,3,1,0,1,50,3.831514,100
301,156,70,34,18,23,50,4.060279,1000
31,17,4,6,3,1,50,3.968269,100
217,137,42,24,9,5,10,4.065905,1000
443,215,76,65,29,58,4,3.870809,1000
1136,418,187,201,133,197,50,4.306363,5000
1231,555,240,211,87,138,50,3.867547,10000
274,162,47,34,10,21,50,4.000143,1000
8,2,0,3,0,3,50,4.025364,100
643,365,109,73,33,63,2,4.006692,5000
6,3,1,1,0,1,1,3.920853,100
138,82,27,10,7,12,50,3.981337,1000
5359,3111,1172,650,204,222,50,4.105054,50000
2,0,0,0,1,1,50,3.858942,10
24,11,6,2,1,4,50,4.020408,100
59,22,11,12,4,10,2,4.364844,100
3208,1467,607,558,241,335,50,4.151395,10000
36,11,4,11,4,6,50,4.017488,100
3,0,2,0,0,1,2,3.548387,10
855,451,165,120,51,68,50,4.085705,1000
1783,535,289,344,189,426,50,3.908535,10000
61,28,11,12,2,8,50,4.216386,100
14,5,3,2,1,3,50,4.174679,100
307,171,71,35,12,18,1,4.172786,1000
5,3,0,1,0,1,37,3.858119,1000
37,15,3,9,1,9,49,3.960171,1000
889,464,178,126,52,69,50,4.108849,5000
938,349,171,173,88,157,1,3.8767,1000
743,400,142,103,45,53,50,3.999371,5000
8,5,0,1,2,0,5,3.874016,100
211,120,37,31,8,15,50,4.215228,1000
4,3,0,0,0,1,50,4.352941,50
2,2,0,0,0,0,17,3.666667,50
20,6,4,2,2,6,1,4.001588,100
209,100,41,34,17,17,6,4.391304,1000
1008,447,201,135,81,144,50,4.268002,5000
7,1,1,2,1,2,4,3.892857,100
187,84,40,28,14,21,50,4.150756,1000
32,11,6,5,7,3,1,4.167628,100
1670,823,340,250,89,168,50,4.137582,10000
212,73,49,23,25,42,50,4.189844,1000
47,24,5,6,6,6,50,3.876762,100
1331,659,255,199,101,117,6,4.121484,10000
2520,1220,433,365,203,299,50,3.87201,10000
50,20,7,8,6,9,50,4.30112,100
0,0,0,0,0,0,50,4.169786,10
4,2,2,0,0,0,50,4.120281,50
53,30,14,5,1,3,50,3.837956,100
1045,644,183,114,38,66,50,4.289674,10000
16,6,5,0,2,3,50,3.968061,100
2055,1162,488,212,83,110,1,4.146957,10000
373,144,57,60,35,77,50,3.965204,1000
4,1,2,1,0,0,45,3.91574,100
1933,867,298,299,151,318,4,3.951817,10000
13,4,2,2,1,4,50,3.931196,100
17444,11548,3191,1632,507,566,2,4.146957,50000
1404,593,278,232,124,177,1,3.93753,10000
341,163,63,48,21,46,50,4.150356,1000
3975,2054,774,576,242,329,50,4.184134,20000
387,189,76,67,21,34,50,3.978261,5000
3070,1635,642,392,177,224,50,3.965701,20000
31,19,5,5,1,1,50,3.832535,100
50,20,7,8,6,9,50,4.30112,100
20744,11184,4152,2919,1174,1315,50,4.067348,100000
3820,1726,654,568,324,548,44,4.064643,20000
30,15,3,5,4,3,10,3.884544,100
42,17,9,4,5,7,2,3.943019,100
13,10,2,0,0,1,50,4.185185,100
212,95,33,32,16,36,5,4.039128,1000
121,36,24,23,19,19,50,3.947472,1000
28,17,4,3,1,3,2,4.21046,100
72,17,19,12,8,16,10,3.729167,100
1338,685,257,187,72,137,50,3.801684,10000
15,2,3,5,0,5,50,3.298507,100
1161,558,242,159,75,127,50,4.285598,5000
29,18,1,5,1,4,1,3.882845,100
668,254,155,102,61,96,10,4.098557,1000
134,62,26,23,6,17,1,3.844776,1000
1556,743,338,258,110,107,50,4.252711,5000
107,66,13,18,3,7,3,3.94332,1000
1694,725,376,272,112,209,50,4.000143,10000
18,3,2,5,1,7,3,3.894761,100
2946,1427,614,452,180,273,36,3.885538,10000
0,0,0,0,0,0,1,3.989831,10
10,6,2,1,1,0,3,4.167979,100
249,143,48,24,12,22,50,3.85193,1000
3,2,0,0,0,1,20,4.008403,10
2,1,1,0,0,0,50,4.5125,10
12,7,1,2,1,1,50,4.014652,100
3040,1782,565,332,123,238,50,4.352612,10000
21,10,5,0,2,4,9,3.878167,100
4,3,1,0,0,0,18,4.175439,50
2,2,0,0,0,0,50,3.970731,100
2,0,1,0,1,0,50,4.001546,50
135,75,24,19,10,7,50,4.057185,1000
27,7,9,7,1,3,50,3.948409,100
127,59,16,20,7,25,50,3.946416,5000
1600,809,322,238,100,131,50,4.108849,20000
30,17,6,2,1,4,3,3.714286,100
1,1,0,0,0,0,5,3.75,50
150,71,23,23,11,22,6,3.993017,1000
980,520,180,120,67,93,1,4.04517,10000
