@relation sales_clothes

@attribute No. numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_color {white,green,other,black,yellow,blue,pink,grey,red,dual,brown,beige}
@attribute product_variation_size_id {M,XS,S,XXS,L,XXL,OTHER,XXXXXL,XXXL,XL,XXXS,XXXXL}
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute origin_country {CN,US,VE,AT,SG,GB}
@attribute merchant_rating numeric

@data
0,16,14,100,0,3.76,54,26,8,10,1,9,0,0,0,0,white,M,50,4,34,50,CN,4.128521
1,8,22,20000,1,3.45,6135,2269,1027,1118,644,1077,0,0,0,0,green,XS,50,2,41,50,CN,3.899673
2,8,43,100,0,3.57,14,5,4,2,0,3,0,0,0,0,other,XS,1,3,36,50,CN,3.989831
3,8,8,5000,1,4.03,579,295,119,87,42,36,0,0,0,0,black,M,50,2,41,50,CN,4.020435
4,2.72,3,100,1,3.1,20,6,4,2,2,6,0,0,0,0,yellow,S,1,1,35,50,CN,4.001588
5,3.92,9,10,0,5,1,1,0,0,0,0,0,0,0,0,blue,XS,1,1,40,50,CN,3.507692
6,7,6,50000,0,3.84,6742,3172,1352,971,490,757,0,0,0,0,white,XS,50,2,31,50,CN,4.076516
7,12,11,1000,0,3.76,286,120,56,61,18,31,0,0,0,0,blue,M,50,3,139,50,CN,3.681287
8,11,84,100,1,3.47,15,6,2,3,1,3,0,0,0,0,black,M,50,2,36,50,CN,3.80303
9,5.78,22,5000,0,3.6,687,287,128,92,68,112,0,0,0,0,pink,S,50,2,33,50,CN,3.999819
10,5.79,5,1000,0,3.46,613,245,101,81,61,125,0,0,0,0,grey,XXS,2,2,25,50,CN,3.956811
11,6,8,100,1,3.31,13,3,4,3,0,3,0,0,0,0,blue,XS,2,2,40,50,CN,3.983784
12,1.91,6,1000,1,3.45,141,49,29,24,14,25,0,0,0,0,other,XS,1,1,38,50,CN,4.123878
13,5.79,42,1000,0,3.32,121,36,24,23,19,19,0,0,0,0,red,S,50,2,43,50,CN,3.947472
14,2,2,20000,1,3.65,2457,984,481,459,206,327,0,0,0,0,yellow,S,1,1,36,50,CN,4.138885
15,11,81,1000,0,3.92,426,204,94,62,21,45,0,0,0,0,black,S,50,3,41,50,CN,4.066326
16,11,10,10000,0,3.72,2058,840,435,386,158,239,0,0,0,0,red,L,50,2,34,50,CN,3.958426
17,5,25,100000,1,3.83,17980,8290,3483,2951,1410,1846,0,0,0,0,white,S,50,1,41,50,CN,3.933581
18,9,9,20000,0,3.82,5479,2456,1162,853,431,577,0,0,0,0,blue,S,50,3,43,50,CN,4.081624
19,7,7,1000,0,3.67,214,87,36,49,17,25,0,0,0,0,red,S,7,2,41,50,CN,4.062361
20,11,10,5000,0,3.84,1183,506,274,216,81,106,0,0,0,0,green,S,50,3,69,50,CN,4.256597
21,5,6,20000,0,3.6,3552,1437,632,610,358,515,0,0,0,0,black,S,11,2,41,50,CN,3.981337
22,11,26,1000,0,3.38,72,27,11,11,8,15,0,0,0,0,green,S,2,2,51,50,CN,4.231842
23,7,6,5000,1,3.67,510,213,98,85,45,69,0,0,0,0,green,M,50,2,138,50,CN,4.264659
24,5.71,5,1000,0,3.75,678,290,145,104,61,78,0,0,0,0,black,XXS,19,2,43,50,CN,4.006692
25,9,32,1000,0,4.15,567,323,116,58,28,42,0,0,0,0,green,M,50,3,41,50,CN,4.110059
26,9,9,1000,0,4.03,216,105,48,39,12,12,0,0,0,0,other,M,5,3,60,50,US,4.229409
27,5.65,5,20000,0,4.29,2996,1781,628,374,104,109,1,0,1,0,white,S,50,2,43,50,CN,4.017488
28,1.74,2,100,1,4.25,12,7,3,1,0,1,0,0,0,0,pink,XS,50,1,41,50,CN,3.831514
29,5.65,6,1000,0,4.06,301,156,70,34,18,23,0,0,0,0,white,XXL,50,2,54,50,CN,4.060279
30,14,76,100,0,4.06,31,17,4,6,3,1,0,0,0,0,other,S,50,4,36,50,CN,3.968269
31,5.65,6,1000,1,4.37,217,137,42,24,9,5,1,0,1,0,black,XXS,10,2,38,50,CN,4.065905
32,8,7,1000,0,3.81,443,215,76,65,29,58,0,0,0,0,green,S,4,2,46,50,CN,3.870809
33,2.66,3,5000,0,3.44,1136,418,187,201,133,197,0,0,0,0,black,M,50,1,22,50,CN,4.306363
34,9,8,10000,0,3.8,1231,555,240,211,87,138,0,0,0,0,yellow,S,50,3,45,50,CN,3.867547
35,11,10,1000,0,4.16,274,162,47,34,10,21,1,0,1,0,white,S,50,3,31,50,CN,4.000143
