No.,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,countries_shipped_to,inventory_total,origin_country,merchant_rating
0,16.0,14,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,white,M,50,4,34,50,CN,4.128521126760563
1,8.0,22,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,green,XS,50,2,41,50,CN,3.8996732762505633
2,8.0,43,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,other,XS,1,3,36,50,CN,3.989830508474576
3,8.0,8,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,black,M,50,2,41,50,CN,4.020434709634105
4,2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,yellow,S,1,1,35,50,CN,4.001588178428394
5,3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,blue,XS,1,1,40,50,CN,3.507692307692308
6,7.0,6,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,white,XS,50,2,31,50,CN,4.076515597410241
7,12.0,11,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,blue,M,50,3,139,50,CN,3.681286549707602
8,11.0,84,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,black,M,50,2,36,50,CN,3.803030303030303
9,5.78,22,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,pink,S,50,2,33,50,CN,3.999819298879653
10,5.79,5,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,0,0,0,grey,XXS,2,2,25,50,CN,3.9568109820485744
11,6.0,8,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,0,0,0,blue,XS,2,2,40,50,CN,3.983783783783784
12,1.91,6,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,0,0,0,other,XS,1,1,38,50,CN,4.123877917414721
13,5.79,42,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,red,S,50,2,43,50,CN,3.9474719653747785
14,2.0,2,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,0,0,0,0,yellow,S,1,1,36,50,CN,4.138885385322258
15,11.0,81,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,0,0,0,0,black,S,50,3,41,50,CN,4.066326401056347
