Model,Dataset,Pre-tuning,Post-tuning,Post-tuning (validation)
Random Forest,family,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1,-I 230 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1,-I 230 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1
Random Forest,love,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1,-I 120 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1,-I 120 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1
Random Forest,self,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1,-I 670 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1,-I 670 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1
Random Forest,study,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1,-I 560 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1,-I 560 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1
Random Forest,work,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1,-I 230 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1,-I 230 -K 0 -P 100   -num-slots 1   -M 1.0 -V 0.001 -S 1
AdaBoostM1,family,-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,-I 100 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump
AdaBoostM1,love,-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,-I 100 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump
AdaBoostM1,self,-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump
AdaBoostM1,study,-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump
AdaBoostM1,work,-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump,-I 10 -P 100 -S 1   -W weka.classifiers.trees.DecisionStump
ExtraTree,family,-K -1 -N -1 -S 1,-K 10 -N 10     -S 1,-K 23 -N 1     -S 1
ExtraTree,love,-K -1 -N -1 -S 1,-K 12 -N 1     -S 1,-K 12 -N 1     -S 1
ExtraTree,self,-K -1 -N -1 -S 1,-K 12 -N 1     -S 1,-K 12 -N 1     -S 1
ExtraTree,study,-K -1 -N -1 -S 1,-K 23 -N 1     -S 1,-K 23 -N 1     -S 1
ExtraTree,work,-K -1 -N -1 -S 1,-K 12 -N 1     -S 1,-K 12 -N 1     -S 1
NaiveBayes,family,Non-applicable,Non-applicable,Non-applicable
NaiveBayes,love,Non-applicable,Non-applicable,Non-applicable
NaiveBayes,self,Non-applicable,Non-applicable,Non-applicable
NaiveBayes,study,Non-applicable,Non-applicable,Non-applicable
NaiveBayes,work,Non-applicable,Non-applicable,Non-applicable
Logistics Regression,family,"-R 1.0E-8 
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4"
Logistics Regression,love,"-R 1.0E-8 
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4"
Logistics Regression,self,"-R 1.0E-8 
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4"
Logistics Regression,study,"-R 1.0E-8 
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4"
Logistics Regression,work,"-R 1.0E-8 
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4","-R 1.0E-10   
-M -1 
-num-decimal-places 4"
SVM,family,"-C 1.0 -L 0.001 
-P 1.0E-12 
-N 0 
-V -1 
-W 1 
-K weka.classifiers.functions.supportVector.PolyKernel 
-E 1.0 
-C 250007 
-calibrator weka.classifiers.functions.Logistic 
-R 1.0E-8 
-M -1 
-num-decimal-places 4","-C 0.2222222222222222   
-L 0.001 
-P 1.0E-12 
-N 0 
-V -1 
-W 1 
-K weka.classifiers.functions.supportVector.PolyKernel 
-E 2.0 
-C 250007 
-calibrator weka.classifiers.functions.Logistic 
-R 1.0E-8 
-M -1 
-num-decimal-places 4","-C 0.2222222222222222   
-L 0.001 
-P 1.0E-12 
-N 0 
-V -1 
-W 1 
-K weka.classifiers.functions.supportVector.PolyKernel 
-E 2.0 
-C 250007 
-calibrator weka.classifiers.functions.Logistic 
-R 1.0E-8 
-M -1 
-num-decimal-places 4"
